,celltypes,importance
33,hProgM_6,0.00019184317899383456
44,hProgFPM_8,0.00019188926440057274
87,interneurons_7_GW16,0.00019211267107746265
43,hProgFPL_8,0.0003429564047582415
76,NPCs_6_GW10,0.00039759662258723215
17,hEndo_10,0.00045604225518734227
56,exneurons_5_GW19,0.000496611973667768
80,exneurons_1_GW9,0.0005465709685130241
29,hRgl2c_11,0.0006973257586178859
81,NPCs_1_GW9,0.0007063255762380166
89,NPCs_3_GW16,0.0008016475730829878
66,interneurons_2_GW26,0.0008206885435526251
59,astrocytes_1_GW26,0.0008569220291663427
74,exneurons_1_GW8,0.0009663169090469544
14,hRgl2a_10,0.0010049066147045423
20,hPeric_10,0.001350036843826933
46,hNbML1_8,0.001421382687386712
28,hPeric_11,0.001608446072975071
67,interneurons_4_GW26,0.0016104328819562524
37,hNbML1_6,0.0016830042702029636
73,OPCs_1_GW26,0.0017143489851479143
86,interneurons_2_GW16,0.001741847979805728
88,interneurons_8_GW16,0.001814328382240251
34,hOMTN_6,0.001960366299981029
5,hProgBP_9,0.0020443325730818687
48,exneurons_7_GW23,0.002079133835388959
39,hProgBP_8,0.002082706656757136
57,exneurons_6_GW19,0.002130370760905431
10,hDA1_9,0.002173398261390076
47,exneurons_6_GW23,0.0022827196239696337
27,hRgl3_11,0.0027278235412628803
4,hNProg_9,0.002890234782892507
62,exneurons_6_GW26,0.003234008761704417
26,hRgl2b_11,0.003339966597397742
69,interneurons_8_GW26,0.0033703692175671407
19,hRgl3_10,0.003610710292010949
53,interneurons_7_GW23,0.004224856384948265
36,hProgFPM_6,0.0045586698359415985
94,OPCs_2_GW16,0.004677721822145842
65,interneurons_6_GW26,0.004755867272918568
90,NPCs_6_GW16,0.005014974470312246
32,hProgBP_6,0.005238721756040556
1,hProgBP_7,0.0059786737732813195
52,interneurons_1_GW23,0.00647898881415956
51,interneurons_3_GW23,0.006638139990570463
91,NPCs_8_GW16,0.006889786066812034
72,OPCs_3_GW26,0.008137971762765076
54,interneurons_8_GW23,0.008582429384784032
55,OPCs_2_GW23,0.008705627491338372
15,hDA0_10,0.008726521417560756
64,interneurons_5_GW26,0.009482881128862114
61,exneurons_5_GW26,0.014029851898300943
12,hDA2_9,0.014457900808375935
68,interneurons_7_GW26,0.015173095632174801
85,interneurons_6_GW16,0.015737391191668455
25,hEndo_11,0.017014805920003827
31,hNProg_6,0.017035576320021496
23,hDA2_10,0.017878867596780854
42,hNbM_8,0.019101261927712825
79,exneurons_2_GW12,0.019117701707978312
93,NPCs_9_GW16,0.022218620830985126
9,hNbML5_9,0.0348863267640281
6,hOMTN_9,0.0358958486880879
21,hDA1_10,0.04773548995540651
3,hRgl2a_9,0.05808840475190363
13,hNbGaba_9,0.15418070541135756
11,hGaba_9,0.3438165935713264
